Название;URL лого;Адрес сайта;Адрес новостей;Статус;Год основания;Лицензия;Платформа;Способы оплаты;Описание;Адрес;Партнерская ссылка;Мин. размер счета;"Кредитное плечо ""от""";"Кредитное плечо ""до""";Мин. размер сделки;Спрэд;Комиссия;Демо счет;Мобильный брокер;Партнерская программа;Доверительное управления;Бонусы;Отключен
HY Markets;/wp-content/plugins/forexbox/images/broker_logo/hymarkets.png;http://www1.hymarkets.com/;http://www1.hymarkets.com/russian/tools_news.html;0;1977;FSA № 186171;MetaTrader 4, Webtrader;Электронные деньги (WebMoney, PayPal, Skrill и т.п.), банковские карты (Visa, MasterCard) и переводы;<p>HY Markets –входит в состав крупного международного финансового конгломерата Henyep Capital Markets UK Ltd. С 1977 года, Henyep Capital Markets работает в сфере финансовых услуг, недвижимости, образования и благотворительности.</p><p>Основной деятельностью HY Markets являются инвестиции во все международные валютные и фондовые рынки, а так же онлайн-трейдинг. Деятельность компании регламентирована и регулируется Управлением финансового надзора Великобритании ( FSA-номер лицензии 186171).</p>;Великобритания, Лондон EC2N 2AN, ул. Трогмортон 28, 3-й этаж, телефон: +44 (208) 816-78-12;http://www1.hymarkets.com/;50$;1 к 1;1 к 300;0.02 лота;1.8 пункта;0%;1;1;1;1;Нет;1
Xe Markets;/wp-content/plugins/forexbox/images/broker_logo/xemarkets.png;http://www.xemarkets.ru/;http://www.xemarkets.ru/;0;2009;Лицензии CySEC № 120/10, MiFID № HE 251334, FSA № 538324;MetaTrader 4, Webtrader;Электронные деньги (WebMoney, Liberty Reserve, Neteller, Skrill и т.п.), банковские карты (Visa, MasterCard) и переводы (Western Union, MoneyGram, MIGOM);<p>XEMarkets – это торговое наименование компании Trading Point of Financial Instruments Ltd, поставщика финансовых услуг, деятельность которого регулируется законодательством Европейского Союза и который предоставляет возможность интернет-торговли на мировых финансовых рынках.</p><p>Клиенты XEMarkets имеют прямой доступ к финансовым рынкам более 100 финансовых инструментов, включая валюту, фондовые индексы, драгоценные металлы и энергоносители, в условиях прозрачного ценообразования в реальном времени, самых низких спредов и гибкого финансового рычага.</p>;Cyprus, Limassol,  12 Richard & Verengaria Street, Araouzos Castle Court, 3rd Floor, телефон: +357 (2) 502-99-00;http://www.xemarkets.ru/;5$;1 к 1 ;1 к 888;0.0001 лота;1 пункт;0%;1;1;1;0;30 % торговый бонус при внесении начального депозита. 10 % торговый бонус при внесении каждого депозита;1
FxPro;/wp-content/plugins/forexbox/images/broker_logo/fxpro.png;http://www.fxpro.ru/;http://www.fxpro.ru/news;0;2006;Лицензии CySEC № 078/07, FSA № 509956, AFS № 405750;MetaTrader 4, cTrader;Электронные деньги (PayPal, Neteller, Skrill и т.п.), банковские карты (Visa, MasterCard) и переводы;<p>Международная штаб-квартира FxPro расположена в Лимассоле на Кипре и имеет официальное представительство в Москве. Помимо этого есть дочерние компании в Лондоне и Сиднее. FxPro UK Limited авторизована и регулируется Управлением финансового надзора Великобритании (FSA) (регистрационный номер 509956), FxPro Australia Pty Ltd (ABN 68 143 740 603) авторизована и регулируется Австралийской комиссией по ценным бумагам и инвестициям (ASIC) (AFS лицензия № 405750).</p><p>Как мировой форекс-брокер FxPro предоставляет широкий набор инструментов и услуг для работы на рынке Forex, включая контракты на разницу (CFD) на спот-рынке иностранных валют, фьючерсов, ценных бумаг и драгоценных металлов. В распоряжении клиентов FxPro более 110 торговых инструментов, клиентская поддержка 24/5 на 15 языках.</p>;Россия, г. Москва, 1-й Зачатьевский переулок, д.10, телефон: +7 (495) 637-47-18;http://www.fxpro.ru/;500$;1 к 1;1 к 500;0.1 лота;0 пунктов;0%;1;1;1;0;Нет;1
TeleTrade;/wp-content/plugins/forexbox/images/broker_logo/teletrade.png;http://www.teletrade.ru/;http://www.teletrade.ru/about/teletrade_news;0;1994;Член НП «ЦРФИН», КРОУФР;MetaTrader 4/5;Электронные деньги, банковские карты (Visa, MasterCard) и переводы;<p>Компания TeleTRADE D.J. предоставляет широкий спектр сервисных и консалтинговых услуг на мировых финансовых рынках — международном валютном рынке FOREX и американском фондовом рынке Stock. За годы работы компания приобрела большой опыт сотрудничества со многими банками и брокерскими компаниями. Основным партнером и обслуживающим банком компании является один из лидеров мировой банковской элиты.</p><p>Сегодня у компании TeleTRADE D.J. крупнейшая региональная сеть и передовые программные продукты, обеспечивающие клиентам качественный сервис.</p>;China, HONG KONG, Kowloon, 28 Shanghai street, HANG BONG Commercial centre, телефон: 8 (800) 200-31-00 (звонок бесплатный по России);http://www.teletrade.ru/;300$;1 к 1;1 к 100;0.01 лота;3 пункта;0%;1;1;1;1;Есть;1
Forex4you;/wp-content/plugins/forexbox/images/broker_logo/forex4you.png;http://www.forex4you.org/;http://www.forex4you.org/news/;0;2007;FSC № SIBA/L/12/1027;MetaTrader 4;Электронные деньги (WebMoney, Qiwi, Яндекc.Деньги, RBK Money и т.п.), банковские карты (Visa, MasterCard) и переводы (Western Union, MoneyGram, MIGOM);<p>Forex4you – торговая марка компании E-Global Trade & Finance Group, Inc., деятельностью которой является предоставление брокерских услуг в сети Интернет для retail-клиентов с использованием электронных платежных систем.  E-Global Trade & Finance Group, Inc. представлена в разных странах: Великобритания, Германия, Россия, Латвия, Малайзия, Индия и др.</p><p>Компания E-Global Trade & Finance Group, Inc. зарегистрирована на Британских Виргинских Островах под номером 1384287 в соответствии с Законом о компаниях (Глава 285) и Законом о международных коммерческих компаниях (Глава 291).</p><p>В других городах РФ и СНГ действуют представительства Forex4you, которые выполняют услуги поддержки клиентов компании Forex4you по всем вопросам трейдинга и рынка Forex.</p>;"Россия, г. Москва, Пресненская наб. 12, 45 этаж, «Москва-Сити», башня «Федерация» (башня ""Запад""), телефон: 8 (800) 555-39-48 (звонок бесплатный по России)";http://www.forex4you.org/;1$;1 к 10;1 к 500;0.0001 лота;0.3 пункта;0%;1;1;1;1;Нет;1
LiteForex;/wp-content/plugins/forexbox/images/broker_logo/liteforex.png;http://www.liteforex.ru/;http://www.liteforex.ru/trading/company-news/;0;2005;Член РАУФР;MetaTrader 4/5;Электронные деньги (WebMoney, Liberty Reserve, Яндекc.Деньги, Perfect Money и т.п.), банковские карты (Visa, MasterCard) и переводы (Альфа-Клик, ВТБ24, Сбербанк);<p>LiteForex – одна из ведущих брокерских компаний, объединяющая трейдеров абсолютно разных уровней по всему миру. LiteForex входит в список 100 лучших компаний по версии авторитетного издания World Finance. Представительства открыты во многих странах мира. Специалисты компании готовы прийти на помощь каждому клиенту 24 часа 5 дней в неделю. LiteForex имеет внушительные показатели работы, ее услугами воспользовались около 240 000 трейдеров, более 300 новых торговых счетов открывается ежедневно и более 700 000 ордеров закрывается ежемесячно.</p>;Украина, г. Днепропетровск, ул. Коцюбинского, д.12, 2-й этаж оф. 203, телефон: +38 (0562) 31-19-00;http://www.liteforex.ru/;1$;1 к 1;1 к 1000;0.01 лота;0.1 пункта;0%;1;1;1;1;Получайте 30% бонус, пополнив свой торговый счет в течение 24 часов после регистрации! (бонус не более 2000$);1
MasterForex;/wp-content/plugins/forexbox/images/broker_logo/masterforex.png;http://masterforex.org/;http://masterforex.org/Ru/About/news/index.html;0;2006;Член КРОУФР;MetaTrader 4/5, Multiterminal;Электронные деньги (WebMoney, Liberty Reserve, Яндекc.Деньги, Perfect Money и т.п.), банковские карты (Visa, MasterCard) и переводы (Western Union, MoneyGram, MIGOM);Компания «MasterForex» начиная с первого дня своего основания в 2006 году предоставляет услуги доступа на мировые финансовые рынки. На сегодняшний день услугами MasterForex пользуются клиенты более чем 130 стран мира и их число с каждым днем растет. В 2010 году компания получила престижные награды: Лучший Микро-форекс брокер и Лучший Брокер России и СНГ. MasterForex постоянно ищет новые идеи и решения, не забывая о главных принципах компании: стремление, честность, профессионализм.;Россия, г. Санкт-Петербург, ул. Чайковского, д. 44, 5 этаж, офис.37, телефон: 8 (800) 333-00-91 (звонок по Росcии бесплатный);http://masterforex.org/;1$;1 к 100;1 к 500;0.01 лота;1.5 пункта;0%;1;1;1;0;До 10% от депозита всем новым клиентам;1
AdmiralMarkets;/wp-content/plugins/forexbox/images/broker_logo/admiralmaktes.png;http://www.forextrade.ru/;http://www.forextrade.ru/company/company-news;0;2001;ФСФР №1144, MiFID, FSA, ASIC № 410681;MetaTrader 4/5, Multiterminal, CFD Trader;Электронные деньги (WebMoney, Qiwi, RBK Money, Яндекc.Деньги, PayPal и т.п.), банковские карты (Visa, MasterCard) и переводы;Admiral Markets — клиент-ориентированная компания. Миссия компании состоит в том, чтобы занять ведущие позиции в области предоставления комфортного доступа к финансовым рынкам, лучшим условиям торговли, эффективному обучению, быстрому обслуживанию, а также качественной поддержке наших клиентов, привлекая все большее число людей в наше сообщество.;Россия, г. Москва, ул. Тестовская, д. 10, Северная башня, 1-й подъезд, офисы 1905, 1906, телефон: 8 (800) 555-75-08 (звонок по Росcии бесплатный);http://www.forextrade.ru/;10$;1 к 1;1 к 500;0.01 лота;0.1 пункта;0%;1;1;1;1;Нет;1
eToro;/wp-content/plugins/forexbox/images/broker_logo/etoro.png;http://www.etoro.ru/;http://www.etoro.ru/about-us/etoro-in-the-news.aspx;0;2006;CySEC № 109/10, MiFID;WebTrader;Электронные деньги (WebMoney, Skrill, Perfect Money и т.п.), банковские карты (Visa, MasterCard) и переводы (Western Union, MoneyGram);Платформа eToro была разработана для того, чтобы служить интересам зарождающегося сегмента розничной торговли в сообществе Форекс. От начинающих энтузиастов валютного обмена, которым нравится сам процесс торговли, больше не требуется справляться со сложными системами заключения сделок, теперь они могут наслаждаться процессом торговли с помощью удобной, наглядной и захватывающей платформы еToro.;281 Waterfront Drive, Road Town Tortola, British Virgin Islands VG1110, телефон: +7 (495) 580-55-61;http://www.etoro.ru/;50$;1 к 1;1 к 400;0.01 лота;2 пункта;0%;1;1;1;0;Бонус на депозит при первом пополнение счета от 200$;1
aForex;/wp-content/plugins/forexbox/images/broker_logo/aforex.png;http://www.aforex.ru/;http://www.aforex.ru/forex-news;0;2007;Член НП «ЦРФИН», КРОУФР;MetaTrader 4, Mirror Trader, MT4 WebCloud;Электронные деньги (WebMoney, Skrill, Яндекс.Деньги, Qiwi и т.п.), банковские карты (Visa, MasterCard) и переводы (Western Union, Contact, Альфа-Клик);<p>Компания AForex предоставляет услуги интернет-трейдинга на рынке Forex с 2007 года. Основатели и топ-менеджеры AForex – это в первую очередь команда действующих профессиональных трейдеров, обладающих многолетним опытом успешной торговли на финансовых рынках.</p><p>За время своей деятельности, компания AForex зарекомендовала себя как брокер с безупречной финансовой репутацией и высоким уровнем доверия как в профессиональной трейдерской среде, так и в кругу своих многочисленных партнеров по всему миру. На территории России и стран СНГ, компания AForex регулируется КРОУФР  и СРО ЦРФИН.</p>;Россия, г. Москва, ул.Профсоюзная, д.78, телефон: 8 (800) 333–77-49 (звонок по Росcии бесплатный);http://www.aforex.ru/;100$;1 к 1;1 к 500;0.01 лота;0.3 пункта;0%;1;1;1;1;Бонус 20% на депозит при первом пополнение счета от 100$;1
Icvector;/wp-content/plugins/forexbox/images/broker_logo/icvector.png;http://icvector.com/;http://icvector.com/ru/news;0;2003;член КРОУФР;MetaTrader 4;Электронные деньги (WebMoney, Qiwi, RBK Money, Яндекc.Деньги, PayPal и т.п.), банковские карты (Visa, MasterCard) и переводы;<p>Vector Securities Investment Company предлагает своим клиентам финансовые услуги на международном валютном (FOREX) рынке. Универсальность предоставляемых инвесторам услуг, передовые технологические решения, а также информационно-аналитический потенциал компании ставит Vector Securities, Ltd. Investment Company в ряд динамично развивающихся и перспективных компаний на финансовом рынке.</p>;Россия, г. Москва, Токмаков переулок, 12/20, телефон: 8 (499) 265-31-45;http://icvector.com/;20$;1 к 100;1 к 500;0.01 лота;2 пункта;0%;1;1;1;0;10$ на счет за оставленный отзыв. Возврат комиссия за перевод средств на счет системы;1
